segment_id,road_name,corridor_base,corridor_seq,corridor_type,start_lat,start_lon,end_lat,end_lon,_ring,_urb
1,NH-44 (Bellary Rd -> Hosur Rd) Seg-1,NH-44 (Bellary Rd -> Hosur Rd),0,NH,13.21,77.62,13.194,77.61642857142857,,
2,NH-44 (Bellary Rd -> Hosur Rd) Seg-2,NH-44 (Bellary Rd -> Hosur Rd),1,NH,13.194,77.61642857142857,13.178,77.61285714285715,,
3,NH-44 (Bellary Rd -> Hosur Rd) Seg-3,NH-44 (Bellary Rd -> Hosur Rd),2,NH,13.178,77.61285714285715,13.162,77.60928571428572,,
4,NH-44 (Bellary Rd -> Hosur Rd) Seg-4,NH-44 (Bellary Rd -> Hosur Rd),3,NH,13.162,77.60928571428572,13.146,77.60571428571428,,
5,NH-44 (Bellary Rd -> Hosur Rd) Seg-5,NH-44 (Bellary Rd -> Hosur Rd),4,NH,13.146,77.60571428571428,13.13,77.60214285714285,,
6,NH-44 (Bellary Rd -> Hosur Rd) Seg-6,NH-44 (Bellary Rd -> Hosur Rd),5,NH,13.13,77.60214285714285,13.114,77.59857142857143,,
7,NH-44 (Bellary Rd -> Hosur Rd) Seg-7,NH-44 (Bellary Rd -> Hosur Rd),6,NH,13.114,77.59857142857143,13.098,77.595,,
8,NH-44 (Bellary Rd -> Hosur Rd) Seg-8,NH-44 (Bellary Rd -> Hosur Rd),7,NH,13.098,77.595,13.0822,77.59495,,
9,NH-44 (Bellary Rd -> Hosur Rd) Seg-9,NH-44 (Bellary Rd -> Hosur Rd),8,NH,13.0822,77.59495,13.066400000000002,77.5949,,
10,NH-44 (Bellary Rd -> Hosur Rd) Seg-10,NH-44 (Bellary Rd -> Hosur Rd),9,NH,13.066400000000002,77.5949,13.050600000000001,77.59485,,
11,NH-44 (Bellary Rd -> Hosur Rd) Seg-11,NH-44 (Bellary Rd -> Hosur Rd),10,NH,13.050600000000001,77.59485,13.04494992,77.59483211999999,,
