segment_id,road_name,corridor_base,corridor_seq,corridor_type,functional_class,urban_rural_flag,segment_length_km,lane_count,median_presence,intersection_density,posted_speed_limit,start_lat,start_lon,end_lat,end_lon,geometry,dist_from_center_km
1,NH-44 (Bellary Rd -> Hosur Rd) Seg-1,NH-44 (Bellary Rd -> Hosur Rd),0,NH,Highway,Rural,1.821,8,False,0.25,80,13.21,77.62,13.194,77.61642857142857,"LINESTRING(77.62 13.21, 77.616429 13.194)",26.65
2,NH-44 (Bellary Rd -> Hosur Rd) Seg-2,NH-44 (Bellary Rd -> Hosur Rd),1,NH,Highway,Rural,1.821,7,True,0.22,90,13.194,77.61642857142857,13.178,77.61285714285715,"LINESTRING(77.616429 13.194, 77.612857 13.178)",24.84
3,NH-44 (Bellary Rd -> Hosur Rd) Seg-3,NH-44 (Bellary Rd -> Hosur Rd),2,NH,Highway,Rural,1.821,7,True,0.28,70,13.178,77.61285714285715,13.162,77.60928571428572,"LINESTRING(77.612857 13.178, 77.609286 13.162)",23.04
4,NH-44 (Bellary Rd -> Hosur Rd) Seg-4,NH-44 (Bellary Rd -> Hosur Rd),3,NH,Highway,Rural,1.821,8,True,0.28,90,13.162,77.60928571428572,13.146,77.60571428571428,"LINESTRING(77.609286 13.162, 77.605714 13.146)",21.23
5,NH-44 (Bellary Rd -> Hosur Rd) Seg-5,NH-44 (Bellary Rd -> Hosur Rd),4,NH,Highway,Peri-Urban,1.821,6,True,0.27,60,13.146,77.60571428571428,13.13,77.60214285714285,"LINESTRING(77.605714 13.146, 77.602143 13.13)",19.43
6,NH-44 (Bellary Rd -> Hosur Rd) Seg-6,NH-44 (Bellary Rd -> Hosur Rd),5,NH,Highway,Peri-Urban,1.821,7,True,0.42,80,13.13,77.60214285714285,13.114,77.59857142857143,"LINESTRING(77.602143 13.13, 77.598571 13.114)",17.63
7,NH-44 (Bellary Rd -> Hosur Rd) Seg-7,NH-44 (Bellary Rd -> Hosur Rd),6,NH,Highway,Peri-Urban,1.821,8,True,0.45,80,13.114,77.59857142857143,13.098,77.595,"LINESTRING(77.598571 13.114, 77.595 13.098)",15.84
8,NH-44 (Bellary Rd -> Hosur Rd) Seg-8,NH-44 (Bellary Rd -> Hosur Rd),7,NH,Highway,Peri-Urban,1.757,5,True,0.36,60,13.098,77.595,13.0822,77.59495,"LINESTRING(77.595 13.098, 77.59495 13.0822)",14.06
9,NH-44 (Bellary Rd -> Hosur Rd) Seg-9,NH-44 (Bellary Rd -> Hosur Rd),8,NH,Highway,Peri-Urban,1.757,4,True,0.43,70,13.0822,77.59495,13.066400000000002,77.5949,"LINESTRING(77.59495 13.0822, 77.5949 13.0664)",12.3
10,NH-44 (Bellary Rd -> Hosur Rd) Seg-10,NH-44 (Bellary Rd -> Hosur Rd),9,NH,Highway,Peri-Urban,1.757,5,True,0.45,90,13.066400000000002,77.5949,13.0506,77.59485,"LINESTRING(77.5949 13.0664, 77.59485 13.0506)",10.54
11,NH-44 (Bellary Rd -> Hosur Rd) Seg-11,NH-44 (Bellary Rd -> Hosur Rd),10,NH,Highway,Urban,0.628,5,True,0.43,80,13.0506,77.59485,13.04494992,77.59483211999999,"LINESTRING(77.59485 13.0506, 77.594832 13.04495)",8.78
